arm_id,arm_name,cumulative_reward,cumulative_profit,mean_fish_stock,min_fish_stock,collapse_flag,time_to_collapse,final_ships,final_fish_population,steps
1,baseline_laissez_faire,-929.2719493091719,3380.883653548025,173.47167037280337,64.70802322165552,1,25,0.0004049515934620661,100.14165942958724,120
3,moderate_taxation,31.384235984728086,5974.955111503112,254.09280873224986,128.0561653727147,0,,0.00040362186721671755,197.45954458596654,120
4,high_taxation,40.492623131764105,7215.4650144867155,332.771581172774,195.42318102032664,0,,0.0006796465213188615,296.46081144311785,120
5,hard_capacity_control,-929.2719493091719,3380.883653548025,173.47167037280337,64.70802322165552,1,25,0.0004049515934620661,100.14165942958724,120
7,weak_capacity_control,-929.2719493091719,3380.883653548025,173.47167037280337,64.70802322165552,1,25,0.0004049515934620661,100.14165942958724,120
10,moderate_marine_reserve,33.654810134713486,4331.381256746155,293.23428877967336,175.09340638544796,0,,0.0003431398055429563,280.3271487161903,120
11,strong_marine_reserve,48.93820597673233,4378.643656081519,445.59562320650815,317.3515829056392,0,,0.0007516876215313451,517.8944251900839,120
